"id","criteria","excellent_description","good_description","fair_description","poor_description","very_poor_description","readiness_level_id"
"281","Risk Assessment and Mitigation","Thorough risk assessment and mitigation strategies for investment.","Good risk assessment, but mitigation strategies need improvement.","Basic risk assessment, lacking comprehensive mitigation.","Poor or no risk assessment; no mitigation strategies.","No awareness or assessment of investment risks.","47"
"282","Readiness for Due Diligence","Fully prepared for due diligence processes.","Well-prepared, but some areas need further attention.","Moderately prepared for due diligence.","Poorly prepared; significant gaps in readiness.","Completely unprepared for due diligence processes.","47"
"283","Investor Pitch Development","Exceptional investor pitch developed, clearly conveying value proposition.","Good investor pitch, but with room for refinement.","Adequate pitch, but lacks impact or clarity.","Poorly developed or ineffective investor pitch.","No investor pitch developed.","48"
"284","Investor Engagement Skills","Highly effective engagement skills in dealing with investors.","Good engagement skills, but not consistently effective.","Adequate engagement skills, but lacks persuasiveness.","Poor engagement skills with potential investors.","No skills or effort in engaging with investors.","48"
"285","Understanding Investor Expectations","Deep understanding of investor expectations and interests.","Good understanding, but some misalignment with expectations.","Basic understanding of investor expectations.","Limited or incorrect understanding of what investors expect.","No understanding of investor expectations.","48"
"286","Feedback Incorporation","Actively incorporates investor feedback into planning and strategy.","Generally incorporates feedback, but not thoroughly.","Some incorporation of feedback, but lacks effectiveness.","Rarely incorporates investor feedback.","Does not incorporate or listen to investor feedback.","48"
"287","Negotiation Preparedness","Fully prepared for investment negotiations, with strong strategies.","Well-prepared, but some aspects of negotiation need improvement.","Moderately prepared for negotiations.","Poorly prepared for investment negotiations.","Completely unprepared for negotiations with investors.","48"
"288","Investor Network Building","Excellent network-building with relevant investors and stakeholders.","Good network-building efforts, but not fully expansive.","Basic investor networking, but lacks depth.","Limited or ineffective investor networking.","No effort in building an investor network.","48"
"289","Investment Documentation Completion","Comprehensive and professional investment documentation prepared.","Good documentation, but some areas need more detail.","Basic documentation in place, lacking some key elements.","Poor or incomplete investment documentation.","No investment documentation prepared.","49"
"290","Legal and Regulatory Compliance","Full compliance with legal and regulatory requirements for investment.","Good compliance, but some areas need more attention.","Adequate compliance, but potential legal risks exist.","Poor compliance with legal and regulatory requirements.","No awareness or compliance with legal and regulatory aspects.","49"
"291","Term Sheet Preparation","Detailed and well-prepared term sheet ready for investors.","Good term sheet, but requires some refinement.","Basic term sheet prepared, but lacks key details.","Poorly prepared or incomplete term sheet.","No term sheet prepared for investment discussions.","49"
"292","Intellectual Property Strategy","Strong intellectual property strategy in place and documented.","Good IP strategy, but not fully comprehensive.","Basic IP strategy, but lacks detail or robustness.","Limited or unclear intellectual property strategy.","No intellectual property strategy or documentation.","49"
"293","Due Diligence Readiness","Fully prepared for investor due diligence with all necessary documentation.","Well-prepared, but minor areas need attention.","Moderately prepared for due diligence.","Poorly prepared for due diligence; significant gaps.","Completely unprepared for investor due diligence.","49"
"294","Negotiation Strategy and Skills","Advanced negotiation strategy and skills for investor discussions.","Good negotiation strategy, but some skills need improvement.","Basic negotiation strategy and skills.","Poor negotiation strategy and lack of skills.","No strategy or skills for investment negotiations.","49"
"295","Active Investor Outreach","Proactive and strategic outreach to a wide range of potential investors.","Good investor outreach, but not widely targeted.","Some investor outreach, but lacks a strategic approach.","Limited or ineffective investor outreach.","No effort in investor outreach.","50"
"296","Meeting Preparation and Execution","Excellent preparation and execution of initial investor meetings.","Good preparation, but execution could be improved.","Adequate preparation, but meetings lack impact.","Poor preparation and execution of investor meetings.","No preparation or execution of meetings with investors.","50"
"297","Investor Interest and Engagement","High level of investor interest and engagement from meetings.","Good investor interest, but not widespread engagement.","Moderate investor interest and engagement.","Limited investor interest and engagement.","No investor interest or engagement.","50"
"298","Presentation and Pitching Skills","Outstanding presentation and pitching skills during meetings.","Good presentation skills, but with room for improvement.","Adequate presentation and pitching, but lacks persuasiveness.","Poor presentation and pitching skills.","No skills or effort in presenting and pitching to investors.","50"
"299","Feedback Integration","Actively integrates feedback from investors to refine approach.","Generally integrates feedback, but not thoroughly.","Occasionally integrates feedback, but lacks consistency.","Rarely integrates investor feedback.","Does not integrate or consider investor feedback.","50"
"300","Follow-up Strategy","Effective and timely follow-up strategy post-meetings.","Good follow-up, but not always timely or effective.","Basic follow-up strategy, but lacks impact.","Poor or no follow-up post investor meetings.","No strategy or effort for follow-up with investors.","50"
"301","Advanced Negotiation Capabilities","Highly skilled in investment negotiations with successful outcomes.","Good negotiation skills leading to favorable outcomes.","Adequate negotiation skills, but with mixed outcomes.","Poor negotiation capabilities; unfavorable outcomes.","No negotiation skills; unsuccessful outcomes.","51"
"302","Deal Structuring Expertise","Expert in structuring deals that are beneficial and sustainable.","Good deal structuring, but some aspects need improvement.","Basic deal structuring skills; agreements lack optimization.","Poor deal structuring; agreements are not beneficial.","No understanding or capability in deal structuring.","51"
"303","Investor Agreement Finalization","Finalization of investor agreements effectively and efficiently.","Good progress in finalizing agreements, but not completed.","Some progress, but agreements are slow to finalize.","Little to no progress in finalizing investor agreements.","No effort or ability to finalize investor agreements.","51"
"304","Risk Management in Negotiations","Excellent management of risks during negotiation processes.","Good risk management, but some areas need attention.","Moderate risk management; some risks not adequately addressed.","Poor risk management in negotiations.","No consideration of risks in negotiation processes.","51"
"305","Investment Terms Optimization","Optimal investment terms that meet business needs and goals.","Good investment terms, but with room for optimization.","Adequate terms, but not fully aligned with business goals.","Poorly negotiated investment terms.","No beneficial terms in investment agreements.","51"
"306","Investor Relationship Building","Strong relationship building with investors during negotiations.","Good relationships with investors, but not fully developed.","Basic investor relationships, lacking depth.","Poor or strained relationships with investors.","No effort in building relationships with investors.","51"
"307","Investment Finalization","Successful finalization of investment deals with optimal terms.","Investment deals finalized with good terms, minor issues resolved.","Investment deals finalized, but with some compromises.","Struggles or delays in finalizing investment deals.","No success in finalizing investment deals.","52"
"308","Post-Investment Strategy","Comprehensive post-investment strategy for growth and scalability.","Solid post-investment strategy, but some areas need development.","Adequate post-investment strategy, lacking in some aspects.","Limited or poorly defined post-investment strategy.","No post-investment strategy or planning.","52"
"309","Investor Relations Management","Excellent ongoing management of investor relations post-investment.","Good investor relations management, but with room for improvement.","Adequate investor relations, but not fully effective.","Poor investor relations management post-investment.","No effort in managing investor relations post-investment.","52"
"310","Use of Funds Alignment","Funds are used precisely as aligned with investors and business goals.","Good alignment in the use of funds, but some discrepancies.","Moderate alignment, but some use of funds not as planned.","Poor alignment in the use of funds; significant deviations.","Misuse or complete misalignment in the use of funds.","52"
"311","Growth and Scalability Execution","Effective execution of growth and scalability plans post-investment.","Good execution, but some challenges in scalability.","Moderate execution of growth plans; scalability issues present.","Poor execution of growth and scalability plans.","No execution or negative impact on growth post-investment.","52"
"312","Feedback Integration and Adaptation","Actively integrates investor feedback and adapts strategies post-investment.","Generally integrates feedback, but not consistently.","Occasionally integrates feedback, lacks proactive adaptation.","Rarely integrates investor feedback post-investment.","Does not integrate or consider investor feedback post-investment.","52"
"313","Sustainable Growth Post-Investment","Exceptional sustainable growth achieved post-investment.","Good growth, but sustainability could be improved.","Moderate growth achieved, but facing sustainability challenges.","Limited or unsustainable growth post-investment.","No growth or negative impact post-investment.","53"
"314","Market Expansion and Diversification","Successful market expansion and diversification post-investment.","Good market expansion, but limited diversification.","Some market expansion achieved, but with challenges.","Limited or unsuccessful market expansion.","No market expansion or negative growth post-investment.","53"
"315","Additional Funding Rounds","Successful additional funding rounds with favorable terms.","Good outcomes in additional funding rounds, but with some issues.","Moderate success in securing additional funding.","Struggles in raising additional funds.","Unable to secure additional funding rounds.","53"
"316","Investor Network Growth","Significant expansion of the investor network post-investment.","Good growth in investor network, but not fully optimized.","Moderate expansion of investor network.","Limited growth or stagnation in investor network.","No expansion or negative impact on investor network.","53"
"317","Financial Health and Reporting","Excellent financial health post-investment with transparent reporting.","Good financial health, but reporting could be improved.","Adequate financial health and reporting.","Poor financial health or lack of transparent reporting.","Financial distress or non-compliance in financial reporting.","53"
"318","Long-term Investor Value Creation","Outstanding long-term value creation for investors.","Good long-term value creation, but with potential for improvement.","Moderate value creation; not fully realizing potential.","Limited or short-term investor value creation.","No value creation or negative impact on investor value.","53"
"319","Market Leadership Post-Investment","Established as a market leader post-investment.","Strong market presence, but not a dominant leader.","Moderate market presence; emerging leadership qualities.","Limited market influence; lacks clear leadership.","No market leadership or minimal market presence.","54"
"320","Strategic Investment Utilization","Strategic and highly effective utilization of investment for long-term success.","Good utilization, but not fully strategic or optimal.","Adequate utilization of investment, but lacks strategic planning.","Poor utilization of investment funds; lacks long-term planning.","Misuse or complete misalignment in the utilization of investment.","54"
"321","Investor ROI and Satisfaction","High return on investment and investor satisfaction.","Good ROI and general investor satisfaction.","Moderate ROI; investor satisfaction varies.","Limited ROI; investor dissatisfaction.","Negative ROI; high investor dissatisfaction.","54"
"322","Sustainable Business Model Post-Investment","Highly sustainable business model established post-investment.","Good sustainability in the business model, but some risks exist.","Moderate sustainability; some aspects of the business model are at risk.","Unsustainable business model post-investment.","Business model collapse or failure post-investment.","54"
"323","Continuous Innovation and Growth","Continuous innovation and growth, setting industry standards.","Regular innovation and growth, but not industry-leading.","Occasional innovation; growth is steady but not remarkable.","Limited innovation and growth.","No innovation; stagnation or decline in growth.","54"
"324","Long-term Strategic Vision","Clear and effective long-term strategic vision post-investment.","Good long-term vision, but with some areas needing development.","Adequate long-term vision, but lacks full clarity or robustness.","Poor or unclear long-term strategic vision.","No long-term strategic vision or planning.","54"
